chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
bnb,arbitrum,0x9a51b99e33d84cbe2268fa564aba36b21d0746d68451a1900ce78593f16de6e4,0xb72d597ed55bd2ad28c17f5c9f1e1eefa82b26935b203dce425c49850296db5b,2023-09-01 00:11:10.000 UTC,2023-09-01 00:30:13.000 UTC,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ETH,JOE,JOE,WETH,WETH_JOE,1,5140.534167113101,5151.92960624,1.002931884605335,0.002216781127494886,1143
ethereum,arbitrum,0x9df62a3d5e6df681882c438f931b0edb88da702b8c5de0db6a0cb55303343938,0x2e6b7d51514dd03472c85c3acd948294aed63b14473ba5e9551f3f317d24ef39,2023-09-01 15:18:59.000 UTC,2023-09-01 15:19:05.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0xc873fecbd354f5a56e00e710b90ef4201db2448d,USDC,DMT,DMT,USDC,USDC_DMT,3900,195.51653414380135,194.89193334439182,3972.053793,0.003194618819041384,6
arbitrum,bnb,0xfe55bf3345c4f3f3911047c8faacf0383b381da299d8e8f0f4d3ac3cd8f4ecf3,0xfa88091b0bbccbe8eb0ff3d0827cac8ac9bc64b117279f4ab8a70f9b824cbad4,2023-09-01 17:46:52.000 UTC,2023-09-01 17:47:24.000 UTC,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,WETH,PEPE,PEPE,ETH,WETH_PEPE,0.3,651281139.9603717,651277683.9328,0.30306737526864697,0.000005306506452633419,32
polygon,bnb,0xde54ff38a607039dc96bae61a7dcc0027972fb7458e4d1c727789ddf0dd27499,0x156fd259c887b546e73f1c46420cd5e47cbe0f7b70f8cc46fd209cfa6b8efe8f,2023-09-01 22:08:20.000 UTC,2023-09-01 22:08:46.000 UTC,0xda47a929d7ca09e30713e03252b74db189e18b37,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0xda47a929d7ca09e30713e03252b74db189e18b37,0x10ed43c718714eb63d5aa57b78b54704e256024e,USDT,LFG,LFG,BUSD,USDC_LFG,40.007752,35133.33538186548,34335.32889557226,40.49099276976957,0.022713655780746644,26
polygon,bnb,0xde54ff38a607039dc96bae61a7dcc0027972fb7458e4d1c727789ddf0dd27499,0xe28a571990438f9425c6b94d228847a2b6d1594f3826fb5295a12056799c2a6c,2023-09-01 22:08:20.000 UTC,2023-09-01 22:09:16.000 UTC,0xda47a929d7ca09e30713e03252b74db189e18b37,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0xda47a929d7ca09e30713e03252b74db189e18b37,0x10ed43c718714eb63d5aa57b78b54704e256024e,USDT,LFG,LFG,BUSD,USDC_LFG,40.007752,35133.33538186548,34385.13135876063,40.49097155684665,0.021296128448170262,56
optimism,polygon,0x48078637c84a3854f9480e9eee3465d37e539aadbc47f80e3195ddcd3c5a6a0c,0x5fc0948166b0c43c8397d5dc77d1e3d8fda710b3a867a288550e411929aa504e,2023-09-01 21:39:33.000 UTC,2023-09-01 21:39:37.000 UTC,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,EURA,EURA,USDC,USDC_EURA,1.07912,1,1,1.079393,0,4
optimism,polygon,0x48078637c84a3854f9480e9eee3465d37e539aadbc47f80e3195ddcd3c5a6a0c,0xf2c017eac949e2bda73d72f8053cb8bd47fcb337dd5bf0e5a1ce0eb792068ca6,2023-09-01 21:39:33.000 UTC,2023-09-01 21:53:56.000 UTC,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,EURA,EURA,USDC,USDC_EURA,1.07912,1,1,1.079333,0,863
optimism,polygon,0x48078637c84a3854f9480e9eee3465d37e539aadbc47f80e3195ddcd3c5a6a0c,0x906986a4864a57cdd21afe514ffa467cd455674c5e51f0556133d746e4b77641,2023-09-01 21:39:33.000 UTC,2023-09-01 22:00:12.000 UTC,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,EURA,EURA,USDC,USDC_EURA,1.07912,1,1,1.079333,0,1239
optimism,polygon,0x48078637c84a3854f9480e9eee3465d37e539aadbc47f80e3195ddcd3c5a6a0c,0x19097470560227e37fc6d9ddab43247f05d97b22d2e51de4c259866249fac21a,2023-09-01 21:39:33.000 UTC,2023-09-01 22:07:30.000 UTC,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,EURA,EURA,USDC,USDC_EURA,1.07912,1,1,1.079333,0,1677
optimism,polygon,0x48078637c84a3854f9480e9eee3465d37e539aadbc47f80e3195ddcd3c5a6a0c,0x272dc011d0c35079af1658a5a402546677c2cfcaf1d2c1eedd09899d547507be,2023-09-01 21:39:33.000 UTC,2023-09-01 22:16:40.000 UTC,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,EURA,EURA,USDC,USDC_EURA,1.07912,1,1,1.079333,0,2227
