chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
avalanche_c,bnb,0x0effa47a3d9622590ba38142b04ee538c1923adc56c8bd234e1a5ebbc58a21c9,0x4b85a4adffb427a583134ef001cec8feb4d700828bb9ee9405b5165d4659af70,2024-05-15 12:37:49.000 UTC,2024-05-15 12:38:03.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,USDC,DZHV,DZHV,USDC,USDC_DZHV,120,33660.274403393465,33532.55804357384,123.41381015695028,0.0037942756582742473,14
avalanche_c,bnb,0x0effa47a3d9622590ba38142b04ee538c1923adc56c8bd234e1a5ebbc58a21c9,0x77bfc608e435f288c515cd4fac52983b36c634d960c8744edb90a8a197db2432,2024-05-15 12:37:49.000 UTC,2024-05-15 12:38:09.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,USDC,DZHV,DZHV,USDC,USDC_DZHV,120,33660.274403393465,33660.274403393465,123.46600429500509,0,20
avalanche_c,bnb,0x0effa47a3d9622590ba38142b04ee538c1923adc56c8bd234e1a5ebbc58a21c9,0xa73b2d16a75f54d67da1bba1f03af2925ccab3651f087fd9b1b3ce8226e4f6f4,2024-05-15 12:37:49.000 UTC,2024-05-15 12:39:09.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,USDC,DZHV,DZHV,USDC,USDC_DZHV,120,33660.274403393465,34968.87804016634,127.64299889818692,0.03887679646013066,80
bnb,ethereum,0xb878c9bd1ee0319f41ec7507f6ff1e76dbd1c99e19bcf915669406947c723275,0xddfd3e072d226e72478f5a4fadb70b84a05e2a2ac45c6e9aab02998f9d920a29,2024-05-15 16:01:59.000 UTC,2024-05-15 16:03:59.000 UTC,0xf18f35e7adea29b6fe3696a7968d98f9c3f45e18,0x1a0a18ac4becddbd6389559687d1a73d8927e416,0xf18f35e7adea29b6fe3696a7968d98f9c3f45e18,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,USDT,VOW,VOW,USDT,USDC_VOW,2870.6317238420884,4001.0000000000005,4000,3000.224933,0.00024993751562120837,120
polygon,ethereum,0x7f07a3012303ae7ae838b964d568355172cc6705a34a66c9e1c7cb089ab21807,0xc856440f37a101f442d08213355cccd1c5dc408fb601da1c0e26f7eab2ad96b0,2024-05-15 15:51:46.000 UTC,2024-05-15 16:29:11.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,WETH,SUKU,SUKU,WETH,WETH_SUKU,0.2,4600.406760399245,4600.406760399245,0.20787734762559698,0,2245
polygon,arbitrum,0x022140ae70f61fa98a165c2a456ab338e45d9be9a0f270af4c749c3504b576e3,0x6884690064abd4dded460c1df2cd519b47299665060467ee4e1de9a42ec40a88,2024-05-15 16:36:27.000 UTC,2024-05-15 16:36:30.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDT,WNT,WNT,USD₮0,USDC_WNT,16.525716,238.2092889445497,220.90062086003059,26.859542,0.07266160006274244,3
arbitrum,ethereum,0xa8893569a4f9053efffd4a13d27b9e09f9eefed6c209b7895bc757976f74fde8,0x778a219560a0e26bcda67e0f4a0c6f6aaa15203c9794cd8dd996e4341878bd88,2024-05-15 13:48:18.000 UTC,2024-05-15 14:05:59.000 UTC,0xba95718a52b5a3dba749a7641712dc05a3550d4f,0xba12222222228d8ba445958a75a0704d566bf2c8,0xba95718a52b5a3dba749a7641712dc05a3550d4f,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,WETH,OLAS,OLAS,WETH,WETH_OLAS,0.13736606319692848,143.42639418437594,151.875,0.14887981640862624,0.05890551640560177,1061
arbitrum,ethereum,0xa8893569a4f9053efffd4a13d27b9e09f9eefed6c209b7895bc757976f74fde8,0x075419745ea7da2a56a3b2e958af07433a3174b539580d52b504949c450675f7,2024-05-15 13:48:18.000 UTC,2024-05-15 14:06:35.000 UTC,0xba95718a52b5a3dba749a7641712dc05a3550d4f,0xba12222222228d8ba445958a75a0704d566bf2c8,0xba95718a52b5a3dba749a7641712dc05a3550d4f,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,WETH,OLAS,OLAS,WETH,WETH_OLAS,0.13736606319692848,143.42639418437594,151.875,0.1490820737796337,0.05890551640560177,1097
arbitrum,optimism,0xb5cf5be12f2465bbeb140417751e02732697ce890abcd7e5e3ae201114e026a0,0xf10912ef838179711a29cc2f583a6de98d6ce215fc9aeb78ae613f75683c842e,2024-05-15 13:35:03.000 UTC,2024-05-15 13:56:09.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,ETH,JARVIS,JARVIS,ETH,WETH_JARVIS,0.1,3595.0475744174173,3595.04757441,0.10157116016423688,2.063222777103614e-12,1266
ethereum,arbitrum,0x38e2ba81c6952f8e8c67c1f9e5db2ec737d9961e509059674ec06168e992a465,0x8281a47082776a7e6a8bd39cf74be1f8bb87cccd69fd51093f7dffe34335015c,2024-05-15 18:33:23.000 UTC,2024-05-15 18:44:00.000 UTC,0x5504e3e0ebcd4a5ace9a2d765277a8c3f48d952e,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0x5504e3e0ebcd4a5ace9a2d765277a8c3f48d952e,0x5e325eda8064b456f4781070c0738d849c824258,KIBSHI,WETH,WETH,KIBSHI,KIBSHI_WETH,150000000,0.478297378017842,0.4421876203142854,150375000,0.07549645756621651,637
