chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
base,bnb,0xd160533d1ef4ca438dc251a3cbc2745f80f510c9c246e40bd297e9962495b62c,0xcdec43bbab67ce16c4edc21d89a854a769a93f5a58a737a4adaa08126907dfde,2024-01-15 06:23:03.000 UTC,2024-01-15 06:33:40.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x6bded42c6da8fbf0d2ba55b2fa120c5e0c8d7891,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,OMNI,WETH,ETH,OMNI,OMNI_WETH,1499569.7945587854,0.20174585422781607,0.2,1553178.8530484203,0.008653730380226817,637
bnb,polygon,0xaaeac3fec42d9fb4d31f767b08a00a00a8d8f19c0f05915bf47e3a4381dbaf4d,0xe1ac6c7f76ce20687517a05ceafebcebd608689501877acc887a2f837ce4b304,2024-01-15 16:27:35.000 UTC,2024-01-15 16:27:43.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,CHAMP,CHAMP,USDC,USDC_CHAMP,100,2128.449983290158,2111.5679532292497,103.272429,0.0079316075986958,8
bnb,polygon,0xaaeac3fec42d9fb4d31f767b08a00a00a8d8f19c0f05915bf47e3a4381dbaf4d,0xc0df74b22c0898f40179887040464b69f7b77f67ae12f271ab8de9f6e51d4306,2024-01-15 16:27:35.000 UTC,2024-01-15 16:27:53.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x13f4ea83d0bd40e75c8222255bc855a974568dd4,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,CHAMP,CHAMP,USDC,USDC_CHAMP,100,2128.449983290158,2094.8859822302234,102.073668,0.01576922235590958,18
ethereum,arbitrum,0x297ac39b0b9368c6d794244f077e46cf23fce1932afd6105560e44cca4ad3670,0x63d533c3ce94c461fd15aa395d5f97635e078afd0ff5e3fca91a70d8da303091,2024-01-15 19:19:23.000 UTC,2024-01-15 19:23:28.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,WETH,LNDX,LNDX,ETH,WETH_LNDX,0.7,2158.85343,2158.85343,0.7233756832314054,0,245
polygon,ethereum,0x458704af80d64e86b7e654929c6bc71c22bccced1483b1c025e22e5888e4d854,0x247e6fe1522e2fca0c9df0a81f79b5ee51f07d89f8a24a6507687c69078e8df7,2024-01-15 14:36:54.000 UTC,2024-01-15 14:36:59.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,0xca74f404e0c7bfa35b13b511097df966d5a65597,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,WETH,OMNI,OMNI,WETH,WETH_OMNI,0.8,5300868.130663899,5305643.698864866,0.8185074574918253,0.0009009030376254929,5
optimism,base,0xb3a8ec3943fcf4017b9ae80354189008f4fb5931582daf2c1df4223417ea2df2,0xe0e42dc534c9a4a1fc095a7dafe81a7c6c0e60a686ef49682fd5dbf214ec570a,2024-01-15 07:07:31.000 UTC,2024-01-15 07:08:25.000 UTC,0x8678f58ac6c4748b5289d0db70e627eef395dead,0xa062ae8a9c5e11aaa026fc2670b0d65ccc8b2858,0x8678f58ac6c4748b5289d0db70e627eef395dead,0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,USDC,EXTRA,EXTRA,USDbC,USDC_EXTRA,420,23903.989929680978,23856.181949821617,423.32076,0.001999999999999951,54
arbitrum,ethereum,0xb313cf34669ca63c31ef69449415753cc1f5fdcb85ac705bb4ea9edbbd54e7ba,0x5707c6ce68959dbcdb32ce7c8a9eb8aa1ac5902bcd7ca94d4c1c2169620b033c,2024-01-15 02:18:30.000 UTC,2024-01-15 02:19:35.000 UTC,0x67c3a09bed3389072ca85aa64a9b805897a940e1,0xdc00e700b1709a9b7a0032f3c84373c2de00e620,0x67c3a09bed3389072ca85aa64a9b805897a940e1,0xdc00e700b1709a9b7a0032f3c84373c2de00e620,WETH,USH,USH,WETH,WETH_USH,0.5193994172073246,32201.01472111215,32182.895953900927,0.5405453098054509,0.0005626769022078457,65
arbitrum,bnb,0x290ef4c1f42eac00fd3440e0c3977b5b2fe958a8e4e97966a9c434545d738108,0x51713eacfde37d878654c0ff2d216a8d61de0102434cbb6dceddd20064168f75,2024-01-15 05:50:44.000 UTC,2024-01-15 05:50:46.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,WETH,OMNI,OMNI,ETH,WETH_OMNI,0.2,1451101.0063559401,1451101.0063559401,0.20177928760945152,0,2
arbitrum,bnb,0x290ef4c1f42eac00fd3440e0c3977b5b2fe958a8e4e97966a9c434545d738108,0x92874cfa89df6523a206d0b1e49abccb1e6d761459662f985fcede2811c411a1,2024-01-15 05:50:44.000 UTC,2024-01-15 05:57:04.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,WETH,OMNI,OMNI,ETH,WETH_OMNI,0.2,1451101.0063559401,1467396.364235632,0.20218518938549485,0.011229651008659471,380
arbitrum,base,0x290ef4c1f42eac00fd3440e0c3977b5b2fe958a8e4e97966a9c434545d738108,0xd160533d1ef4ca438dc251a3cbc2745f80f510c9c246e40bd297e9962495b62c,2024-01-15 05:50:44.000 UTC,2024-01-15 06:23:03.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x6bded42c6da8fbf0d2ba55b2fa120c5e0c8d7891,WETH,OMNI,OMNI,WETH,WETH_OMNI,0.2,1451101.0063559401,1499569.7945587854,0.20174585422781607,0.03340138831862705,1939
